Country;class;marketSize Value 2021;marketSize Value 2020;marketSize Value 2019;marketSize Value 2018;marketSize Value 2017;Evolution Value 2021;Evolution Value 2020;Evolution Value 2019;Evolution Value 2018;CAGR SValue;total MS SValue;marketShare Value;marketSize Volume 2021;marketSize Volume 2020;marketSize Volume 2019;marketSize Volume 2018;marketSize Volume 2017;Evolution Volume 2021;Evolution Volume 2020;Evolution Volume 2019;Evolution Volume 2018;CAGR Volume;total MS SVolume;marketShare Volume
Egypt;SL;28148082.0;28935166.0;28508176.0;25389658.0;23007371.0;-2.720%;1.498%;12.283%;10.354%;4.116%;133988453.0;26.668%;538886472.0;562209915.0;566348091.0;505699197.0;535543857.0;-4.149%;-0.731%;11.993%;-5.573%;0.125%;2708687532.0;38.300%
Egypt;B;10263382.0;10698539.0;9686949.0;6336665.0;6224990.0;-4.067%;10.443%;52.871%;1.794%;10.517%;43210525.0;8.600%;304353132.0;311928078.0;350247891.0;286938018.0;311666175.0;-2.428%;-10.941%;22.064%;-7.934%;-0.474%;1565133294.0;22.130%
Egypt;SL + B;10433905.0;10864584.0;11250338.0;9665961.0;8589714.0;-3.964%;-3.429%;16.391%;12.529%;3.967%;50804502.0;10.112%;240618240.0;252773121.0;267455142.0;233634387.0;239576511.0;-4.809%;-5.490%;14.476%;-2.480%;0.087%;1234057401.0;17.449%
Egypt;SG;12670479.0;8850188.0;6722660.0;3937194.0;1177386.0;43.166%;31.647%;70.747%;234.401%;60.833%;33357907.0;6.639%;32683455.0;18429948.0;13699761.0;7896426.0;2328840.0;77.339%;34.528%;73.493%;239.071%;69.605%;75038430.0;1.061%
Egypt;X;10731098.0;10801846.0;8547103.0;6383773.0;4934956.0;-0.655%;26.380%;33.888%;29.358%;16.808%;41398776.0;8.240%;60425637.0;63484353.0;44319765.0;31601550.0;29724597.0;-4.818%;43.242%;40.246%;6.314%;15.245%;229555902.0;3.246%
Egypt;SG + B;4032623.0;1041752.0;0.0;0.0;0.0;287.100%;0.000%;0.000%;0.000%;0.000%;5074375.0;1.010%;18253506.0;4908090.0;0.0;0.0;0.0;271.907%;0.000%;0.000%;0.000%;0.000%;23161596.0;0.327%
Egypt;GP;4309131.0;4649768.0;4818520.0;2545841.0;1476908.0;-7.326%;-3.502%;89.270%;72.376%;23.882%;17800168.0;3.543%;177489.0;186066.0;196989.0;107571.0;73218.0;-4.610%;-5.545%;83.125%;46.919%;19.374%;741333.0;0.010%
Egypt;GT;1364510.0;1620071.0;1814738.0;1591762.0;1366317.0;-15.775%;-10.727%;14.008%;16.500%;-0.026%;7757398.0;1.544%;12020004.0;13247298.0;15925596.0;12843204.0;13386828.0;-9.264%;-16.818%;24.000%;-4.061%;-2.131%;67422930.0;0.953%
Egypt;GT + B;725050.0;772172.0;623986.0;532927.0;539740.0;-6.103%;23.748%;17.087%;-1.262%;6.081%;3193875.0;0.636%;14661285.0;15406281.0;11954853.0;10082325.0;10505049.0;-4.836%;28.871%;18.572%;-4.024%;6.894%;62609793.0;0.885%
Egypt;GD;660582.0;682300.0;826809.0;649666.0;768899.0;-3.183%;-17.478%;27.267%;-15.507%;-2.991%;3588256.0;0.714%;13477377.0;14043369.0;17316066.0;13724781.0;16226685.0;-4.030%;-18.900%;26.166%;-15.418%;-3.645%;74788278.0;1.057%
Egypt;X + GT;906.0;0.0;0.0;0.0;0.0;0.000%;0.000%;0.000%;0.000%;0.000%;906.0;0.000%;3390.0;0.0;0.0;0.0;0.0;0.000%;0.000%;0.000%;0.000%;0.000%;3390.0;0.000%
Egypt;IAG;0.0;9.0;1.0;1576.0;51833.0;-100.000%;800.000%;-99.937%;-96.959%;-100.000%;53419.0;0.011%;0.0;270.0;30.0;42210.0;1389360.0;-100.000%;800.000%;-99.929%;-96.962%;-100.000%;1431870.0;0.020%
Egypt;GD + B;0.0;0.0;0.0;1438.0;16763.0;0.000%;0.000%;-100.000%;-91.422%;-100.000%;18201.0;0.004%;0.0;0.0;0.0;53010.0;636900.0;0.000%;0.000%;-100.000%;-91.677%;-100.000%;689910.0;0.010%
Iraq;X + B;43933575.0;37776124.0;32176162.0;26625328.0;20386166.0;16.300%;17.404%;20.848%;30.605%;16.598%;160897355.0;32.817%;121340762.0;82741250.0;63611570.0;44485388.0;28646022.0;46.651%;30.073%;42.994%;55.293%;33.471%;340824992.0;12.351%
Iraq;SL;27791351.0;35356396.0;26289508.0;17032493.0;19498407.0;-21.397%;34.489%;54.349%;-12.647%;7.345%;125968155.0;25.693%;169826516.0;223756021.0;200509470.0;182221270.0;172313280.0;-24.102%;11.594%;10.036%;5.750%;-0.290%;948626557.0;34.377%
Iraq;B;14264681.0;20618494.0;14688103.0;12486881.0;10405725.0;-30.816%;40.375%;17.628%;20.000%;6.512%;72463884.0;14.780%;213280299.0;260145192.0;201222444.0;181439170.0;156786150.0;-18.015%;29.282%;10.904%;15.724%;6.348%;1012873255.0;36.706%
Iraq;SG;10466761.0;6492059.0;2284274.0;403942.0;0.0;61.224%;184.207%;465.496%;0.000%;0.000%;19647036.0;4.007%;12777334.0;6202900.0;2182999.0;321180.0;0.0;105.990%;184.146%;579.681%;0.000%;0.000%;21484413.0;0.779%
Iraq;SL + B;10617605.0;14517020.0;15519863.0;11941330.0;12752443.0;-26.861%;-6.462%;29.968%;-6.360%;-3.598%;65348261.0;13.329%;63511403.0;77614008.0;74603202.0;63218376.0;64555876.0;-18.170%;4.036%;18.009%;-2.072%;-0.326%;343502865.0;12.448%
Iraq;X;6117883.0;6205844.0;5711110.0;5020465.0;4604056.0;-1.417%;8.663%;13.757%;9.044%;5.850%;27659358.0;5.642%;15100474.0;10806810.0;10865700.0;8092460.0;5694996.0;39.731%;-0.542%;34.269%;42.098%;21.534%;50560440.0;1.832%
Iraq;GT;2505706.0;1850542.0;1222205.0;1077713.0;914372.0;35.404%;51.410%;13.407%;17.864%;22.338%;7570538.0;1.544%;4302629.0;2616395.0;1685750.0;1361950.0;1073680.0;64.449%;55.207%;23.775%;26.849%;31.999%;11040404.0;0.400%
Iraq;GT + B;1574209.0;1502703.0;646787.0;131142.0;0.0;4.758%;132.334%;393.196%;0.000%;0.000%;3854841.0;0.786%;4305012.0;3283592.0;1277864.0;264600.0;0.0;31.107%;156.959%;382.942%;0.000%;0.000%;9131068.0;0.331%
Iraq;GD;837786.0;814950.0;536388.0;756634.0;546944.0;2.802%;51.933%;-29.109%;38.338%;8.903%;3492702.0;0.712%;3931564.0;3432930.0;2738700.0;5476950.0;4356150.0;14.525%;25.349%;-49.996%;25.729%;-2.030%;19936294.0;0.722%
Iraq;SG + B;697801.0;11055.0;0.0;0.0;0.0;6212.085%;0.000%;0.000%;0.000%;0.000%;708856.0;0.145%;1393104.0;21840.0;0.0;0.0;0.0;6278.681%;0.000%;0.000%;0.000%;0.000%;1414944.0;0.051%
Iraq;GP;740025.0;907921.0;916271.0;30430.0;0.0;-18.492%;-0.911%;2911.078%;0.000%;0.000%;2594647.0;0.529%;19108.0;19052.0;13780.0;500.0;0.0;0.294%;38.258%;2656.000%;0.000%;0.000%;52440.0;0.002%
Iraq;IAG;0.0;0.0;77957.0;0.0;0.0;0.000%;-100.000%;0.000%;0.000%;0.000%;77957.0;0.016%;0.0;0.0;560.0;0.0;0.0;0.000%;-100.000%;0.000%;0.000%;0.000%;560.0;0.000%
Lebanon;B;6897218.0;5894690.0;5293662.0;5548063.0;5315433.0;17.007%;11.354%;-4.585%;4.377%;5.348%;28949066.0;15.085%;60660087.0;53243679.0;48849450.0;50213223.0;50658582.0;13.929%;8.995%;-2.716%;-0.879%;3.669%;263625021.0;39.767%
